room,Patient_Room1,134,84,30,40,0,Medical Center,901,WORKING_TIME:24h,equipments-802:xray:3,drugs-512:Aspirin:1
storageRoom,Employee_Room1,126,73,30,197,0,Medical Center,901,WORKING_TIME:24h,equipments-801:masks:2:802:xray:3,drugs-112:Brufen:1:512:Aspirin:1
room,Patient_Room220,74,122,403,306,0,Medical Center,901,WORKING_TIME:24h,equipments-801:masks:2:802:xray:3,drugs-512:Aspirin:1
elevator,Elevator,111,63,293,40,0,Medical Center,
room,Patient_Room3,74,150,403,40,0,Medical Center,901,WORKING_TIME:24h,equipments-801:masks:2:802:xray:3,drugs-512:Aspirin:1
storageRoom,Employee_Room2,126,66,30,269,0,Medical Center,901,WORKING_TIME:24h,,drugs-112:Brufen:1
storageRoom,Employee_Room3,126,94,30,334,0,Medical Center,901,WORKING_TIME:24h,,drugs-112:Brufen:1
room,Patient_Room4,116,47,361,189,0,Medical Center,901,WORKING_TIME:24h,,drugs-112:Brufen:1:512:Aspirin:1
room,Patient_Room5,116,72,361,235,0,Medical Center,901,WORKING_TIME:29h,,drugs-112:Brufen:1:512:Aspirin:1
stairs,Stairs,36,40,299,388,0,Medical Center,
restroom,Wc,66,45,163,40,0,Medical Center,
restroom,Wc,66,45,228,40,0,Medical Center,
counter,Information,80,97,210,173,0,Medical Center,
waitingRoom,Waiting_room,7,7,220,285,0,Medical Center,
waitingRoom,Waiting_room,7,7,247,285,0,Medical Center,
waitingRoom,Waiting_room,7,7,193,285,0,Medical Center,
waitingRoom,Waiting_room,7,7,211,285,0,Medical Center,
waitingRoom,Waiting_room,7,7,238,285,0,Medical Center,
waitingRoom,Waiting_room,7,7,229,285,0,Medical Center,
waitingRoom,Waiting_room,7,7,202,285,0,Medical Center,
waitingRoom,Waiting_room,7,7,265,285,0,Medical Center,
waitingRoom,Waiting_room,7,7,256,285,0,Medical Center,
waitingRoom,Waiting_room,7,7,202,294,0,Medical Center,
waitingRoom,Waiting_room,7,7,301,285,0,Medical Center,
waitingRoom,Waiting_room,7,7,193,294,0,Medical Center,
waitingRoom,Waiting_room,7,7,292,285,0,Medical Center,
waitingRoom,Waiting_room,7,7,274,285,0,Medical Center,
waitingRoom,Waiting_room,7,7,283,285,0,Medical Center,
waitingRoom,Waiting_room,7,7,202,294,0,Medical Center,
waitingRoom,Waiting_room,7,7,292,303,0,Medical Center,
waitingRoom,Waiting_room,7,7,301,294,0,Medical Center,
waitingRoom,Waiting_room,7,7,292,294,0,Medical Center,
waitingRoom,Waiting_room,7,7,283,294,0,Medical Center,
waitingRoom,Waiting_room,7,7,274,294,0,Medical Center,
waitingRoom,Waiting_room,7,7,265,294,0,Medical Center,
waitingRoom,Waiting_room,7,7,256,294,0,Medical Center,
waitingRoom,Waiting_room,7,7,247,294,0,Medical Center,
waitingRoom,Waiting_room,7,7,238,294,0,Medical Center,
waitingRoom,Waiting_room,7,7,229,294,0,Medical Center,
waitingRoom,Waiting_room,7,7,220,294,0,Medical Center,
waitingRoom,Waiting_room,7,7,211,294,0,Medical Center,
waitingRoom,Waiting_room,7,7,283,303,0,Medical Center,
waitingRoom,Waiting_room,7,7,274,303,0,Medical Center,
waitingRoom,Waiting_room,7,7,265,303,0,Medical Center,
waitingRoom,Waiting_room,7,7,256,303,0,Medical Center,
waitingRoom,Waiting_room,7,7,247,303,0,Medical Center,
waitingRoom,Waiting_room,7,7,238,303,0,Medical Center,
waitingRoom,Waiting_room,7,7,229,303,0,Medical Center,
waitingRoom,Waiting_room,7,7,220,303,0,Medical Center,
waitingRoom,Waiting_room,7,7,211,303,0,Medical Center,
waitingRoom,Waiting_room,7,7,301,303,0,Medical Center,
waitingRoom,Waiting_room,7,7,202,303,0,Medical Center,
waitingRoom,Waiting_room,7,7,193,303,0,Medical Center,
waitingRoom,Waiting_room,7,7,361,154,0,Medical Center,
waitingRoom,Waiting_room,7,7,361,181,0,Medical Center,
waitingRoom,Waiting_room,7,7,388,181,0,Medical Center,
waitingRoom,Waiting_room,7,7,379,181,0,Medical Center,
waitingRoom,Waiting_room,7,7,370,181,0,Medical Center,
waitingRoom,Waiting_room,7,7,361,172,0,Medical Center,
waitingRoom,Waiting_room,7,7,370,172,0,Medical Center,
waitingRoom,Waiting_room,7,7,379,172,0,Medical Center,
waitingRoom,Waiting_room,7,7,388,172,0,Medical Center,
